Budget,CE_Recall,CE_Precision,CE_Token_Reduction,RAG_Recall,RAG_Precision,RAG_Token_Reduction,Naive_Recall,Naive_Precision,Naive_Token_Reduction
25,0.6833333333333333,0.43333333333333335,0.9014719576334526,0.75,0.48333333333333334,0.8993207614986023,0.75,0.4166666666666667,0.8950327118625919
50,0.8666666666666667,0.3555555555555555,0.8252827978564498,0.8333333333333334,0.3055555555555555,0.8050050047017064,0.6666666666666666,0.16666666666666666,0.7970125727705959
75,0.8666666666666667,0.27777777777777773,0.7716071793134415,0.8333333333333334,0.19777777777777786,0.6995678935163121,0.75,0.13888888888888887,0.6922994718744292
100,0.8666666666666667,0.2571296296296296,0.7349731007170658,0.8333333333333334,0.14537037037037032,0.578264299127922,0.9,0.14206349206349203,0.5777162290127892
150,0.8666666666666667,0.2532960557960558,0.7254784220601895,1.0,0.11460761460761462,0.3766333014074642,0.8833333333333333,0.0933954933954934,0.3702974809316289
250,0.8666666666666667,0.2527910052910053,0.7235943640891749,1.0,0.07195324330874202,0.04904573190674177,1.0,0.07195324330874202,0.04904573190674177
500,0.8666666666666667,0.2527910052910053,0.7235943640891749,1.0,0.06946539299480475,0.0,1.0,0.06946539299480475,0.0
